author,date,text
mmmonett,2020-11-01 15:22:20,"RT @mattyglesias: Republicans — not Trump, dozens and dozens of individual state legislators across multiple states — have acted to deliber…"
ajstarrulez_as,2020-11-01 15:22:20,"RT @the_resistor: @HKrassenstein @LaneZane1 WHY doesn’t @realDonaldTrump WANT EVERY SINGLE VOTE counted?

WHY is @realDonaldTrump so AFRAID…"
sama_ark,2020-11-01 15:22:20,RT @GaumontRene: Quand est-ce que tout le monde va comprendre que ceci c’est le Great Reset derrière cette mascarade Covid-19 du ( World Ec…
guyzlkeme,2020-11-01 15:22:20,"@warrenleightTV U know, #Trump is WRONG 4 AMERICA"
SalomnM,2020-11-01 15:22:20,"RT @RideWithC4T: Get out the vote y'all!! 

@Yvette4congress and @MarkRonchettiNM will be allies to our President @realDonaldTrump 
in the…"
dudewtfnow,2020-11-01 15:22:20,"RT @FoxNewsSunday: A Fox News poll say 52% of people find Joe Biden “honest &amp; trustworthy,” compared to 37% of people who say the same abou…"
_km0net,2020-11-01 15:22:20,"RT @EM_RESUS: Hi ER Doc here,

I can’t believe this needs to be said but doctors do NOT get more money if somebody dies from COVID. 

RT so…"
yeah_okay_sure,2020-11-01 15:22:20,@ladygaga I did too. Trump 2020
DuardoFairchild,2020-11-01 15:22:20,F u twitter
MrsBurghart,2020-11-01 15:22:20,"RT @okcapitoldome: Not driving a big truck aggressively and not waving Trump flags makes you homosexual. Those are the rules, guys"
MuseMe_55,2020-11-01 15:22:20,RT @mrctv: ICYMI: @CoryGardner grills Twitter CEO @jack on repeatedly flagging President @realDonaldTrump's tweets but never restricting th…
Allen58B,2020-11-01 15:22:20,"RT @zimraniaxy: #Faucism v. Fascism, #IStandWithFauci #COVIDIOTS❣️

Clearly, anyone on the #frontline who sides w/ the #WHNazis doesn't sub…"
dbble5,2020-11-01 15:22:20,RT @DanRather: I think we are at the point where Donald Trump is demanding to see COVID’s birth certificate - the long form.
JoanneKenen,2020-11-01 15:22:20,RT @evanasmith: NEW from @TexasTribAbby @McGeeReports @JinATX: @FBI looking into incident Friday night involving @joebiden bus and @realDon…
nmlawman,2020-11-01 15:22:20,RT @horowitz39: Is Obama trying to look like an asshole? Or is this just his inescapable self? Just epitomizes the pathetic state of the co…
Vikki_Lander,2020-11-01 15:22:20,RT @johnlegend: It is stunning that the president would say this nonsense about our medical professionals on the front lines. It is so urge…
TXTrumplican45,2020-11-01 15:22:20,"RT @GenFlynn: Pastor Mark Burns speaks to the accomplishments of @RealDonaldTrump

VOTE4:
Laura Loomer — Florida’s 21st District @JulieReic…"
farmchickmaga,2020-11-01 15:22:20,RT @somedude710: #vote2020 #Trump2020 #TrumpLandslideVictory2020 #KAG2020 #FourMoreYears #VoteRed #WetBuzzardFart
midwest_sarah,2020-11-01 15:22:20,"RT @JoeBiden: From his heinous acts of separating families at our border to his neglect of the people of Puerto Rico after Hurricane Maria,…"
museumsrus,2020-11-01 15:22:20,"RT @PalmerReport: Holy shit, Trump stranded his rally attendees in the cold and dark again..."
LissaLove123,2020-11-01 15:22:20,"RT @KR_KAG: There has been no U.S. President in my lifetime who has earned reelection quite like President Donald J. Trump.
Let’s do this,…"
Smith43216,2020-11-01 15:22:20,"RT @DrEricDing: Sickening—US is now using Mexico as a dumping ground when deporting kids from other countries, and it’s illegal—even an int…"
MusingDeb,2020-11-01 15:22:20,Police declare unlawful assembly in Beverly Hills after Trump supporters and counterprotesters clash https://t.co/TNdZoFb3Je #FoxNews
lovesanimals,2020-11-01 15:22:20,"Mark Meadows Accused Of Blowing Campaign Cash On Clubs, Cupcakes And Trump Hotel | HuffPost https://t.co/gFuQ7ipYh1"
davideades11n,2020-11-01 15:22:20,"RT @RepAndyBiggsAZ: Fauci has mercilessly “attacked” President @realDonaldTrump for months, undermining America’s duly elected Commander in…"
VegasKJ,2020-11-01 15:22:20,"RT @Timodc: There's a lot wrong going on here. 

But I continue to be focused on the ""shuttles."" 

Why even continue the charade of these t…"
MichaelMontreu1,2020-11-01 15:22:20,RT @brianklaas: Trump is straight up endorsing dangerous intimidation of his political rivals using potentially deadly tactics. They nearly…
KatAdler21,2020-11-01 15:22:20,"""Donald Trump managed to do what he did with the help of dozens of lawyers—lawyers who have either slid out of the… https://t.co/dPrtMwwYyW"
beything,2020-11-01 15:22:20,Não vai nem viver o suficente pra ver o resultado da eleição e está aí fazendo graça
RoboticsMama,2020-11-01 15:22:20,RT @DianeLong22: Officials OUTRAGED After Trump Campaign Asks for Names of People Transporting Ballots and Locations of Where Ballots Are S…
gjburkhart,2020-11-01 15:22:20,"RT @ScottPresler: As of 8:37 a.m. in Florida, 

1,883,511 Republicans, 1,324,770 democrats, &amp; 845,881 NPAs voted in-person.

Including mail…"
MelynndaWhite,2020-11-01 15:22:20,"RT @GenFlynn: Pastor Mark Burns speaks to the accomplishments of @RealDonaldTrump

VOTE4:
Laura Loomer — Florida’s 21st District @JulieReic…"
LifeIsSoStrang,2020-11-01 15:22:20,"RT @RedDragonFly19: Opps, It’s a bugger when there is video proving your false reporting.

Jake Tapper deletes tweet falsely accusing Trump…"
DLoIndustries,2020-11-01 15:22:20,RT @melodyMcooper: #DoctorsSpeakUp https://t.co/abmK9xkbUB
AngeloVizziello,2020-11-01 15:22:20,RT @sullijwiii: Archbishop Viganò’s powerful letter to President Trump: Eternal struggle between good and evil playing out right now | Opin…
Caroline071958,2020-11-01 15:22:20,You go California. TRUMP 2020.
desvesper,2020-11-01 15:22:20,@gapatriot3 @di_plora @SecretarySonny @realDonaldTrump @realdonaldtrump we need to help this guy out. I have a grea… https://t.co/wSFdoum4HS
clarkvalentine,2020-11-01 15:22:20,RT @TVietor08: The media needs to push back hard on this nonsense. It's going to take several days to count all the votes. It always does.…
KenZimmern,2020-11-01 15:22:20,"RT @ChuckCallesto: BREAKING REPORT: Pittsburgh Post Gazette ENDROSES President Trump.   

**THIS IS THEIR FIRST GOP ENDORSEMENT SINCE 1972.…"
SophiaB90229727,2020-11-01 15:22:20,RT @tribelaw: AXIOS: “No one working for Trump or Biden thinks the post-election period will be remotely normal. Even if you get the result…
MariaOdetePiuti,2020-11-01 15:22:20,"Já votei. Bora lá.
Trump com certeza"
Clara_Belldios,2020-11-01 15:22:20,RT @FloridaDude297: FLORIDA DUDE POLL.  US Senate Race Analysis.  #1 reason late breaking Independent voters are aligning with Republicans…
Vicky_Raptorr,2020-11-01 15:22:20,RT @atrupar: This clip encapsulates the toxic Fox News bubble perhaps better than anything I've seen. (h/t @GoAngelo and @ParkerMolloy) htt…
DonnaTa86259307,2020-11-01 15:22:20,"RT @JoeBiden: The words of a president matter. And time and time again, Donald Trump has callously used his to incite violence, stoke the f…"
LadyGoodman7777,2020-11-01 15:22:20,"RT @KatyVotingBlue: @ProjectLincoln @realDonaldTrump It was Jr. 
 Jr initially called them to go after Kamala in McCallen Texas. Kamala, a…"
strasburgtigger,2020-11-01 15:22:20,"RT @laurenboebert: We are all watching from afar as Europe locks down yet again.

That’s Joe Biden’s plan for America.

Just lock down over…"
Imagine59099780,2020-11-01 15:22:20,RT @GeorgeTakei: So we are calling Trump truck caravan thugs “Y’all Qaeda” right? Because it’s so fitting.
Lvh654,2020-11-01 15:22:20,"RT @DonaldJTrumpJr: Home Depot Co-Founder Bernie Marcus: ""Undecided voters should ask themselves: Do I want to return to the pre-pandemic T…"
SCH41076287,2020-11-01 15:22:21,"RT @kayleighmcenany: The American People have a clear choice:

➡️ Safely Reopen vs. Lock Down Immediately

➡️ Great Economic Comeback vs. S…"
